"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
NTPXWUVD,conferencePaper,2023,"Zhang, B.; Yi, Z.; Xu, Y.; Xu, J.; Lu, Y.; Zhou, Y.",Expert Incorporated Deep Reinforcement Learning Approach for Market Arbitrage Strategy of the Battery Energy Storage,,,,10.1109/EI259745.2023.10513107,https://www.scopus.com/pages/publications/85194176659?origin=resultslist,2023,2026-05-12 02:50:09,2026-07-10 03:55:10,,1709-1714,,,,,,,,,,,,,,,,Scopus,,,,,,,Learning algorithms; Learning systems; Markov processes; Reinforcement learning; Reinforcement learnings; Battery energy storage; Deep learning; Power control; Secondary batteries; Profitability; Deep reinforcement learning; Battery storage system; Commerce; deep reinforcement learning; energy storage system; Energy storage system; expert experience; Expert experience; market arbitrage; Market arbitrage; Numerical methods; Optimal control systems; Peak- valley; Reinforcement learning approach; Storage systems; Training; Optimal control; Optimization methods; System integration; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023 IEEE 7th Conference on Energy Internet and Energy System Integration, EI2 2023",,,,,,,,,,,,,,,
XKGBJJRK,journalArticle,2024,"Dubey, A.; Glover, D.; Krishnamoorthy, G.",Grid-edge optimization and control with machine learning,"Big Data Application in Power Systems, Second Edition",,,10.1016/B978-0-443-21524-7.00014-1,https://www.scopus.com/pages/publications/85216420150?origin=resultslist,2024,2026-05-12 02:50:09,2026-06-12 09:31:13,,161-188,,,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Reinforcement learning; Distributed energy resources; Electric power distribution systems; Grid-edge coordination; Optimal power flow; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6W3MPLLT,conferencePaper,2025,"Yu, J.; Wan, Y.; Li, S.; Li, F.",Safe Reinforcement Learning-Based Energy Scheduling in Smart Ev Charging Stations,,,,10.1109/IESES66335.2025.11359894,https://www.scopus.com/pages/publications/105033531089?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-11 05:34:47,,394-399,,,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Markov processes; Optimization; Reinforcement learnings; Uncertainty; Machine learning; Renewable energies; Charging (batteries); Electric power transmission networks; Power grids; Charging stations; CMDP; Constrained Markov decision process; Electric power system stability; Electric vehicle charging; Energy; Energy policy; Energy scheduling; EV; EVs; renewable energy; Safe reinforcement learning; Scheduling problem; SRL; Variational techniques; Renewable energy sources; Power system stability; Stability analysis; Simulation; Job shop scheduling; Numerical stability; Smart charging; E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025 IEEE 4th International Conference on Industrial Electronics for Sustainable Energy Systems, IESES 2025",,,,,,,,,,,,,,,
TQIE2YLK,journalArticle,2025,"Deanseekeaw, A.; Pinthurat, W.; Marungsri, B.",Multi-Objective-Based Multi-Heterogeneous- Agent Deep Reinforcement Learning for Minimization of Voltage Deviation and Operation Cost in Active Distribution System,IEEE Access,,,10.1109/ACCESS.2025.3565123,https://www.scopus.com/pages/publications/105004040506?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-14 12:50:38,,75648-75665,,,13,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Battery storage; Optimization; Reinforcement learnings; Battery management systems; Deep reinforcement learning; battery energy storage system; Costs reduction; diesel generator; Diesel generators; Distributed Wind; microgrid; Microgrid; Multi agent; Multi-agent deep reinforcement learning; Multiobjective optimization; operation cost reduction; Operation cost reduction; Operations cost; Power management (telecommunication); Solar fuels; voltage control; Voltage deviations; Voltage control; Heuristic algorithms; Costs; Power system dynamics; Generators; Real-time systems; FRAMEWORK; DISTRIBUTION NETWORKS; OPTIMIZATION; POWER; Adaptation models; OPTIMAL PLACEMENT; Renewable energy sources; E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42MEPI2,conferencePaper,2025,"Sage, M.; Al Handawi, K.; Zhao, Y.F.",The economic dispatch of power-To-gas systems with deep reinforcement learning: Tackling the challenge of delayed rewards with long-Term energy storage,,,,10.1115/ES2025-156635,https://www.scopus.com/pages/publications/105018576056?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-11 07:30:00,,,,,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Learning systems; reinforcement learning; Reinforcement learning; Reinforcement learnings; Decision making; Deep learning; Electric load dispatching; Deep reinforcement learning; Economic Dispatch; Energy; Complex networks; Cost effective; Cost effectiveness; Data storage equipment; deep learning; Delayed rewards; Electric energy storage; Electric power system economics; Energy conversion; optimal economic dispatch; Optimal economic dispatch; Power; Power-toga; power-Togas; power-to-gas; WIND; E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of ASME 2025 19th International Conference on Energy Sustainability, ES 2025",,,,,,,,,,,,,,,
LXBF59WJ,journalArticle,2024,"Chen, P.; Liu, S.; Wang, X.; Kamwa, I.",Physics-Guided Multi-Agent Adversarial Reinforcement Learning for Robust Active Voltage Control With Peer-to-Peer (P2P) Energy Trading,IEEE Transactions on Power Systems,,,10.1109/TPWRS.2024.3369591,https://www.scopus.com/pages/publications/85186962801?origin=resultslist,2024,2026-05-12 02:50:09,2026-06-14 12:48:59,,7089-7101,,6,39,,,,,,,,,,,,,Scopus,,,,,,,Digital storage; Power markets; Reinforcement learning; Reinforcement learnings; Deep learning; Voltage regulators; Profitability; Multi agent systems; Deep reinforcement learning; Multi agent; Multi-agent deep reinforcement learning; Distributed computer systems; Distribution network; Electric load flow; Electric power distribution; Energy trading; Fluctuation; Game; Jacobian matrices; multi-agent deep reinforcement learning; P2P energy trading; Peer to peer networks; Peer-to-peer computing; Reactive power; Regulation; Voltage control; voltage regulation; OPERATION; DISTRIBUTION NETWORKS; OPTIMIZATION; Fluctuations; Games; E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F98ELHKA,journalArticle,2023,"Mohamed, M.; Tsuji, T.",Battery Scheduling Control of a Microgrid Trading with Utility Grid Using Deep Reinforcement Learning,IEEJ Transactions on Electrical and Electronic Engineering,,,10.1002/tee.23768,https://www.scopus.com/pages/publications/85147573041?origin=resultslist,2023,2026-05-12 02:50:09,2026-07-10 04:28:17,,665-677,,5,18,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Battery storage; Digital storage; Electric batteries; Power markets; Reinforcement learning; Reinforcement learnings; Solar energy; Uncertainty; Deep learning; Deep reinforcement learning; deep reinforcement learning; microgrid; Microgrid; Energy trading; battery energy storage systems; Electric loads; Electric power system control; Electricity load; energy trading; Linear programming; Scheduling control; solar power; Utility grids; Variable renewable energies; ENERGY; MANAGEMENT; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGMFL7BY,conferencePaper,2023,"Basso, E.; Du, Y.",Battery Energy Storage Control Using Reinforcement Learning,,,,10.1109/IFEEC58486.2023.10458579,https://www.scopus.com/pages/publications/85189751537?origin=resultslist,2023,2026-05-12 02:50:09,2026-07-10 04:29:23,,435-439,,,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Battery storage; Digital storage; Electric batteries; Power markets; Reinforcement learning; Reinforcement learnings; Battery energy storage; Reinforcement Learning; Profitability; Cost effectiveness; Battery Energy Storage System; Controllers; Learning controllers; Matlab/simulink; Matlab/Simulink; PV installations; Renewable Power; Simulink; Solar PVs; Storage control; Electricity supply industry; Renewable energy sources; Mathematical models; Fluctuations; Energy consumption; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023 International Future Energy Electronics Conference, IFEEC 2023",,,,,,,,,,,,,,,
DZCRGXZ3,conferencePaper,2021,"Zha, Z.; Wang, B.; Fan, H.; Liu, L.",An Improved Reinforcement Learning for Security-Constrained Economic Dispatch of Battery Energy Storage in Microgrids,,,,10.1007/978-981-16-5188-5_22,https://www.scopus.com/pages/publications/85115156056?origin=resultslist,2021,2026-05-12 02:50:09,2026-06-11 07:11:12,,303-318,,,1449,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Battery storage; Electric batteries; Learning algorithms; Reinforcement learning; Battery energy storage; Electric load dispatching; Microgrids; Energy storage; Scheduling; Microgrid; Constrained optimization; Energy resources; Life cycle; Peak load shifting; Real time decisions; Renewable energy resources; Security constrained economic dispatch; Security controls; Security-constrained economic dispatch; Stochastic optimization problems; Trial and error learning; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications in Computer and Information Science,,,,,,,,,,,,,,,
V4W8QLAN,journalArticle,2026,"Shukla, S.; Jha, S.K.",A hybrid HBA-tuned DDPG reinforcement learning strategy for intelligent load frequency control in multi-area hybrid power systems,Computers and Electrical Engineering,,,10.1016/j.compeleceng.2026.110945,https://www.scopus.com/pages/publications/105027934917?origin=resultslist,2026,2026-05-12 02:50:09,2026-06-11 07:27:23,,,,,131,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage system; Battery energy storage systems; Electric batteries; Learning algorithms; Reinforcement learning; Reinforcement learnings; Wind power; Power control; Frequency regulations; Deep reinforcement learning; Electric power transmission networks; Energy storage; Electric power system control; Deep deterministic policy gradient; Deterministics; Electric control equipment; Electric frequency control; Electric load management; Food products; Heuristic algorithms; Honey badger algorithm; Hybrid power; Hybrid power system; Intelligent control; Intelligent frequency regulation; Linear control systems; Load frequency control; Load-frequency control; Non linear control; Non-Linear Control System; Policy gradient; Reinforcement learning based control; Smart power grids; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XAZUQ6Z,conferencePaper,2021,"Hanmei, M.; Mingyue, S.; Yanhong, J.; Qian, W.; Yirong, W.",Electricity-heat collaborative optimization strategy in microgrid using deep reinforcement learning,,,,10.1109/ICEI52466.2021.00008,https://www.scopus.com/pages/publications/85127072763?origin=resultslist,2021,2026-05-12 02:50:09,2026-06-14 12:51:26,,6-12,,,,,,,,,,,,,,,,Scopus,,,,,,,Markov processes; Reinforcement learning; Battery energy storage; Deep learning; Microgrids; microgrid; Microgrid; Deep deterministic policy gradient; Deterministics; Policy gradient; battery energy storages; Centralised; Cost reduction; deep deterministic policy gradient; Electricity-heat collaborative optimization; Heating; Heating power; Operating costs; Optimisations; Optimization strategy; Costs; Renewable energy sources; Stability analysis; Collaboration; E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings - 2021 IEEE International Conference on Energy Internet, ICEI 2021",,,,,,,,,,,,,,,
VICYSS4Q,journalArticle,2025,"He, G.; Ding, Y.; Wu, Z.; Chen, X.; Zhang, D.; Song, J.",Environment-Adaptive Online Learning for Portable Energy Storage Based on Porous Electrode Model,IEEE Transactions on Automation Science and Engineering,,,10.1109/TASE.2024.3485541,https://www.scopus.com/pages/publications/105001590607?origin=resultslist,2025,2026-05-12 02:50:09,2026-07-10 04:12:07,,8386-8399,,,22,,,,,,,,,,,,,Scopus,,,,,,,Battery storage; Reinforcement learning; Battery energy storage; Battery management systems; Decision making; Neural-networks; Deep reinforcement learning; Neural networks; Storage systems; Adaptive online learning; Battery degradation; Benchmarking; Charge storage; Competitive intelligence; Deep neural networks; degradation; Finance; Job analysis; neural network; online learning; Online learning; Portable energy; portable energy storage system; Portable energy storage system; Quality of service; Risk management; Six sigma; State of charge; State of health; States of charges; Total quality management; Voltage scaling; Real-time systems; SYSTEMS; STATE; Adaptation models; Load modeling; CAPACITY; Batteries; Degradation; AGING MECHANISMS; CALENDAR; CELLS; CYCLE-LIFE; DEGRADATION; LITHIUM-ION BATTERY; OF-HEALTH ESTIMATION; Integrated circuit modeling; Predictive models; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNUCV88R,conferencePaper,2025,"Hao, Q.",Model-Based Reinforcement Learning for Distributed Energy Trading in Data Center Microgrids,,,,10.1109/ICIPS67876.2025.11331999,https://www.scopus.com/pages/publications/105034492737?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-14 12:51:26,,239-242,,,,,,,,,,,,,,,,Scopus,,,,,,,Digital storage; Power markets; Reinforcement learning; Microgrids; Renewable energies; Carbon; Microgrid; Distributed computer systems; Energy trading; Cost reduction; Datacenter; Distributed data; Distributed data center microgrid; Distributed Data Center Microgrid; Distributed energies; Distributed energy; Green computing; Information management; Low carbon; MAMBET; Model-based reinforcement learning; Renewable Energy; Zero-carbon; Costs; Renewable energy sources; Couplings; Energy management; Data centers; Data models; Carbon dioxide; Complexity theory; E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025 5th International Conference on Intelligent Power and Systems, ICIPS 2025",,,,,,,,,,,,,,,
8SRPP3JM,conferencePaper,2025,"Giannuzzo, L.; Massano, M.; Schiera, D.S.; Minuto, F.D.; Papurello, D.; Meneghetti, F.; Lanzini, A.",Benchmarking Genetic Algorithms for Short-Term Battery Energy Storage Systems Optimization,,,,10.1109/COMPSAC65507.2025.00287,https://www.scopus.com/pages/publications/105016234424?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-11 02:53:28,,2053-2059,,,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Digital storage; Learning algorithms; Power markets; Deep learning; Storage systems; Electric energy storage; Linear programming; Heuristic algorithms; Optimisations; Benchmarking; BESS; Costs; End-users; Genetic algorithms; Genetic Algorithms; Operation and management; Optimal management; Optimal operation; Short-term optimization; Short-term Optimization; Storage management; Storage units; System optimizations; Electricity; Load modeling; Photovoltaic systems; Machine learning algorithms; Metaheuristics; Prediction algorithms; Software algorithms; Springs; E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings - 2025 IEEE 49th Annual Computers, Software, and Applications Conference, COMPSAC 2025",,,,,,,,,,,,,,,
VFP7K73Y,journalArticle,2026,"Li, J.; Wang, C.; Liu, Y.",AI-Driven Virtual Power Plants: A Comprehensive Review,Energies,,,10.3390/en19041084,https://www.scopus.com/pages/publications/105031048816?origin=resultslist,2026,2026-05-12 02:50:09,2026-06-12 09:33:45,,,,4,19,,,,,,,,,,,,,Scopus,,,,,,,Digital storage; Learning systems; machine learning; Machine-learning; reinforcement learning; Reinforcement learning; Reinforcement learnings; Wind power; Artificial intelligence; Deep learning; Photovoltaics; Multi agent systems; deep learning; Electric energy storage; Electric power system control; Distributed energy; artificial intelligence (AI); Digital twin; Distributed energy resource; Distributed Energy Resources; distributed energy resources (DERs); Ecosystems; Electronic data interchange; Electronic trading; Intelligent agents; Power batteries; Scalability; Virtual power plant; Virtual power plants; Virtual Power Plants; virtual power plants (VPPs); SYSTEM; E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTY56NE3,conferencePaper,2025,"Rehman, A.U.; Sanjari, M.J.; Lu, J.; Du, B.",Reinforcement Learning for Battery-Integrated Energy Systems Control: A Comprehensive Review,,,,10.1109/AUPEC66173.2025.11219647,https://www.scopus.com/pages/publications/105031075200?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-14 12:51:11,,,,2025,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage system; Battery energy storage systems; Battery storage; Digital storage; Reinforcement learning; Reinforcement learnings; Battery management systems; Deep learning; Secondary batteries; Deep reinforcement learning; Renewable energy; Integrated energy systems; deep reinforcement learning; Energy; Power; Intelligent agents; Adaptive control systems; Commercial vehicles; Energy management systems; Grid integration; Integration of renewable energies; System control; Vehicle to grids; vehicle-To-grid integration; Vehicle-to-grid integration; Vehicle-to-grid; Q-learning; Real-time systems; Renewable energy sources; Batteries; Degradation; Reviews; Safety; vehicle-to-grid integration; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Australasian Universities Power Engineering Conference, AUPEC",,,,,,,,,,,,,,,
JKLQQTU7,journalArticle,2022,"Kwon, K.-B.; Zhu, H.",Reinforcement Learning-Based Optimal Battery Control under Cycle-Based Degradation Cost,IEEE Transactions on Smart Grid,,,10.1109/TSG.2022.3180674,https://www.scopus.com/pages/publications/85131820716?origin=resultslist,2022,2026-05-12 02:50:09,2026-06-11 05:28:18,,4909-4917,,6,13,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Digital storage; Electric batteries; Learning algorithms; Markov processes; reinforcement learning; Reinforcement learning; Reinforcement learnings; Uncertainty; Deep learning; Markov Decision Processes; Electric power transmission networks; Energy storage; Electric power system control; Smart power grids; Battery degradation; Costs; Storage management; battery degradation; Deep Q-network; deep Q-networks (DQN); Degradation model; Linearization; Power grid operations; rainflow algorithm; Rainflow algorithms; Reinforcement learning algorithms; MODEL-PREDICTIVE CONTROL; Batteries; Degradation; ENERGY-STORAGE SYSTEMS; Numerical models; Trajectory; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F6ZZWQU,journalArticle,2024,"Sun, R.; Wang, J.; Ma, Y.; Zhang, X.; Hu, H.",Adaptive control strategy for primary frequency regulation for new energy storage stations based on reinforcement learning,Energy Storage Science and Technology,,,10.19799/j.cnki.2095-4239.2023.0658,https://www.scopus.com/pages/publications/85195500314?origin=resultslist,2024,2026-05-12 02:50:09,2026-06-11 07:18:28,,858-869,,3,13,,,基于强化学习的新能源场站储能一次调频自适应控制策略,,,,,,,,,,Scopus,,,,,,,reinforcement learning; adaptive control; battery energy storage; new energy station; primary frequency regulation; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
