Paper_ID,Author,Year,Title,Venue,Market,Price_Resolution,Data_Type,Data_Span,RL_Architecture,Algorithm,Function_Approximator,State_Space,Action_Space,Action_Type,Reward_Function,Degradation_Model,Multi_Market,Benchmark_Used,Test Period Length,Open Source Code,Multi_Seed,Statistical Validation,Q1: Reproducibility,Q2: Benchmark Rigour,Q3: Statistical Reporting,Q4: Market Fidelity,Q5: Evaluation Quality,Included,Quality_Total,Quality_Band
S11,C.S. Neves et al.,2025,Learning to control a battery through reinforcement: balancing lifetime and profit,2025 IEEE Kiel PowerTech,MIBEL,1-hour,Hybrid (Normalized real prices; synthetic voltage/current from analytical model),July 2023 (1 Month),Model-Free DRL,DQN,FNN,SoC; the difference between the current price and the daily median; current state-of-health (% of original capacity remaining); binary flag indicating whether financial balance at this timestep is positive or negative; binary flag indicating whether this is the final timestep of the episode (hour 24),Discrete,"A single discrete energy amount to charge or discharge the battery, chosen from 11 fixed levels spanning maximum discharge (-7.0 kWh) through idle (0 kWh) to maximum charge (+7.0 kWh)",Price-spread arbitrage reward (scaled by price deviation from daily median relative to max deviation) - SoC bounds violation penalty - day-end SoC continuity penalty (|SoC at end of day - SoC at start of day| > 10%) - negative daily profit penalty,Empirical ML (semi-supervised SoH estimator),Energy Only,None,"Simulated to battery end-of-life (SoH < 80%; approx 4065-4948 days, 11-14 years)",No,Yes (10 seeds),Mean +/- SD across 10 runs,0.5,0,1,0.5,0,1,2,Moderate
S12,Bohara & Krishnamoorthy,2025,Learning to Arbitrage Battery Energy Storage using Deep Q-Networks with Hyperparameter Tuning,2025 IEEE International Communications Energy Conference (INTELEC),ERCOT,1-hour,Real,Jan 2023 - Dec 2023 (1 year),Model-Free DRL,DQN,DNN,SoC; Electricity Price; Forecasted price 48 hours ahead in one hour intervals; Current month; Current day; Current hour; Grid power exchanged,Discrete,Charge; Discharge; Idle,Revenue from energy sold - electricity purchase cost - degradation factor * degradation expense,Linear Fixed Cost,Energy Only,MILP,10 Days,No,Not Stated,None,0.5,0.5,0,1,0.5,1,2.5,Moderate
S13,L. Xiong et al.,2024,Interpretable Deep Reinforcement Learning for Optimizing Heterogeneous Energy Storage Systems,"IEEE Transactions on Circuits and Systems-I: Regular Papers, Vol. 71, No. 2",Simulated Microgrid,1-hour,Synthetic,1 year,Model-Free DRL,PPO (Selected),DNN,Current electricity price; PV panel power output at current timestep; SoC; Hydrogen storage reservoir pressure,Continuous,Battery charge/discharge power; Electrolyser power consumption; Fuel cell power output,Discounted electricity sales revenue - battery degradation cost - hydrogen system operating cost,Linear Fixed Cost,Energy Only,None,Not explicitly stated; evaluation is over 30 simulations per trial across 5 trials,No,Not Stated,"Standard error reported across 5 trials for reward and MSE (e.g. 7.43 ± 3.25), but trials are not random seed runs in the standard RL sense",1,0,1,0,0.5,1,2.5,Moderate
S14,B. Zhang et al.,2023,Expert Incorporated Deep Reinforcement Learning Approach for Market Arbitrage Strategy of the Battery Energy Storage,2023 IEEE 7th Conference on Energy Internet and Energy System Integration (EI2),GB Energy Market,1-hour,Real,June-August 2019 (summer); December 2019-February 2020 (winter),Model-Free DRL,DDPG; Expert-Incorporated DDPG (Selected),DNN,Current electricity price p_t; forecasted electricity prices for next 23 hours at one hour intervals; SoC,Continuous,Continuous BESS output power,"Electricity price × normalised charge/discharge power + Expert bonus: additional reward for charging when price is below average, or discharging when price is above average, scaled by a decaying factor that shrinks toward zero over training episodes",None,Energy Only,Vanilla DDPG,4 Days (2 summer; 2 winter),No,Not Stated,"Standard deviation bands are shown on the training reward curve (Fig. 5) across batches of 50 episodes, but this reflects within-run variance, not across-seed variance. No confidence intervals or p-values reported",1,0,0.5,1,0,1,2.5,Moderate
S15,G. He et al.,2024,Environment-Adaptive Online Learning for Portable Energy Storage Based on Porous Electrode Model,"IEEE Transactions on Automation Science and Engineering, Vol. 22",CAISO,1-hour,Hybrid (Real CAISO prices; Real temperature; Synthetic PETLION degradation data),Jan-Dec 2018 (1 year),Model-Free DRL,MPDPQN,DNN,Remaining energy; inventory energy cost; locational marginal price; node temperature; battery SOH; current node; current time period,Mixed,Destination node; charging mode; charging or discharging power level,"If charging: negative transport cost − negative degradation cost (no immediate revenue; charging cost treated as inventory to encourage exploration)
If discharging: electricity revenue from discharging at destination node + time − transport cost − degradation cost − inventory energy cost proportional to energy discharged
If holding/transiting: negative transport cost − negative degradation cost",Physics Informed,Energy Only,"Linear degradation model embedded in MPDPQN; Average temperature degradation neural network (time-invariant, no fine-tuning); Real-world temperature degradation neural network (without fine-tuning); Online learning framework without fine-tuning; SGD-BDN (improved stochastic gradient descent with battery degradation network); Online learning framework without temperature variation (average temperature, no degradation NN)",100 Days,Yes: https://github.com/xjchen-0710/Online-learning-for-PESS,Not Stated,Results presented as single-run average reward curves and bar chart revenues only.,1,0,0,1,1,1,3,Moderate
S16,M. Sage et al.,2024,Enhancing Battery Storage Energy Arbitrage With Deep Reinforcement Learning and Time-Series Forecasting,ASME 2024 International Conference on Energy Sustainability (ES2024),"Alberta, Canada Electricity Market",1-hour,Real,Jan 2018 - Dec 2022 (5 years),Model-Free DRL,DQN (Selected); PPO,DNN,"Basic: SoC; current wholesale price; With forecasts: SoC; current wholesale price; price forecasts for horizons 1-24h (1,2,3,6,12,18,24h)",Discrete,"BES charging/discharging power: continuous in [P_min, P_max] = [-2.5, 2.5] MW; discretised to {-2.5, 0, 2.5} MW for DQN",Grid revenue (wholesale price * battery power * time step) - battery degradation cost,Cycle Counting (DoD informed),Energy Only,"CEM (evolutionary lower bound); MPC-GA (oracle upper bound, perfect foresight); No-forecast DQN/PPO baseline",1 Year,Yes: https://github.com/masa2203/battery_arbitrage_with_drl,Yes (5 seeds),Mean and ±1 standard deviation reported across 5 seeds in Figs. 4 and 6; error bars shown explicitly,1,1,1,1,1,1,5,High
S17,S. Upadhyay et al.,2024,Energy Management System for an Industrial Microgrid Using Optimization Algorithms-Based Reinforcement Learning Technique,"Energies (MDPI), Vol. 17, Article 3898",Nordpool,1-hour,Hybrid (Real load/price/grid; Simulated PV),Feb 2024 - Jul 2024 (6 months),Model-Free DRL,PPO; TD3 (Selected),Not Stated,Normalised forecasted site load; normalised grid import; normalised PV production; SoC; spot market price,Discrete,Charge / Discharge / Hold,Described qualitatively: reward is calculated by comparing operational costs with and without battery optimisation. Agent is rewarded for charging during low-price periods and discharging during high-price periods to minimise total cost (energy cost + peak demand penalty),None,Energy Only,Rule-based,6 Months,No,Not Stated,Point-estimate monthly savings bar charts reported,0,0.5,0,0.5,0.5,1,1.5,Low
S18,S.S. Karimi Madahi et al.,2024,Distributional reinforcement learning-based energy arbitrage strategies in imbalance settlement mechanism,"Journal of Energy Storage, Vol. 104, 114377",Belgian Imbalance Settlement Mechanism,15-minute,Real,Jan-Dec 2022 (1 year),Model-Free DRL,DQN; Distributional DQN (DDQN); SAC; Distributional Soft Actor-Critic (DSAC) (Selected),DNN,"Without cycle constraint: Minute within quarter-hour; Quarter-hour of day; Month of year; SoC; Forecasted imbalance price for current quarter-hour;

With cycle constraint: Minute within quarter-hour; Quarter-hour of day; Month of year; Battery SoC; Forecasted imbalance price for current quarter-hour; Cumulative daily equivalent full cycles consumed so far;",Discrete,Full discharge; Idle; Full charge,-(power dispatched * real-time imbalance settlement price),None,Energy Only,Internal RL comparison only: DQN vs. DDQN vs. SAC vs. DSAC. Appendix compares DQN vs. FQI on a small sub-experiment,Remaining days of each month after first 25 days for 2022,No,Not Stated,None,1,0,0,1,0.5,1,2.5,Moderate
S19,J. Cardo-Miota et al.,2025,Deep reinforcement learning-based strategy for maximizing returns from renewable energy and energy storage systems in multi-electricity markets,"Applied Energy, Vol. 388, 125561",Irish DAM (SEMOpx); DS3,1-hour,Real,Jan-Dec 2022 (1 year),Model-Free DRL,TD3 (Selected); DDPG,LSTM,Period of day; day of week; season of year; energy market price at current step; AS reserve market price at current step; RES PPA price at current step; PV generation at current step; Current SoC; depth of discharge at current step; maximum morning energy market price of the day; maximum afternoon energy market price of the day; time period of morning price peak; time period of afternoon price peak; minimum energy market price of the day; time period of price minimum; minimum AS market price of the day; maximum AS market price of the day,Continuous,"fraction of maximum available BESS power to use for energy exchange; range [0, 1] mapped via environment logic; reserve fraction β is fixed at 1 (not a learned action)",RES PPA revenue + BESS energy market revenue/cost + BESS ancillary service revenue - BESS degradation penalty,Cycle Counting (DoD informed),Ancillary Services + Day-Ahead Energy + RES Energy Market,"PV+DS3 (BESS capacity fully reserved for DS3, no arbitrage cycling); PV+DA (BESS used solely for DAM energy arbitrage, fully discharged at two daily price peaks); DDPG agent (same network architecture and hyperparameters as TD3, trained on same data)",345 Days,No,Not Stated,None,1,0.5,0,1,1,1,3.5,High
S20,J. Li et al.,2023,Deep reinforcement learning for wind and energy storage coordination in wholesale energy and ancillary service markets,"Energy and AI, Vol. 14, 100280 (Elsevier)",NEM; Regulation FCAS,5-minute,Hybrid (Real wind and spot prices; Synthetic AGC signals),Jan 2018 - Dec 2018 (1 year),Model-Free DRL,TD3 (Selected); DDPG; SAC; PPO,DNN,"Wind farm: lagged actual wind generation; lagged spot price; lagged RR-FCAS price;

BESS: current battery capacity; wind curtailment frequency over last M=10 intervals; lagged actual wind generation; lagged spot price; lagged RR-FCAS price; lagged RL-FCAS price;",Mixed,"Wind farm: forecasted wind availability; market-split ratio. 

BESS: discharge binary indicator; charge binary indicator; spot market bid power (scaled); regulation FCAS bid power (scaled); wind-curtailment absorption power (scaled);","Wind farm: (spot-split * spot price + FCAS-split * RR-FCAS price) * min(bid, actual wind) - penalty * |bid - actual wind|. BESS: spot arbitrage reward (bid power * |spot price - moving-average spot price|) + Regulation FCAS revenue (RR and RL) + reward for absorbing onsite curtailed wind",Linear Fixed Cost,FCAS + Spot,P&O (LSTM forecast + MILP); ablation vs PPO; DDPG; SAC,1 Month,No,Not Stated,None,0.5,0.5,0,0.5,0.5,1,2,Moderate
S21,Sage & Zhao,2025,Deep reinforcement learning for economic battery dispatch: A comprehensive comparison of algorithms and experiment design choices,"Journal of Energy Storage (Vol. 115, Article 115428)",AESO; SMARD,1-hour,Hybrid (Real prices; Synthetic RE and demand),Jan-Dec 2022 (1 year),Model-Free DRL,DQN (Selected); PPO; DDPG; SAC,MLP,"AB-EA base: SoC; wholesale electricity price; 

AB-EA extended: SoC; wholesale electricity price; sin/cos-encoded hour; sin/cos-encoded week; sin/cos-encoded month; stacked observations from 2–24 previous timesteps (concatenated into current state);

DE-LF/REU base: SoC; wholesale electricity price; available RE generation; power demand; 

DE-LF/REU extended: SoC; wholesale electricity price; available RE generation; power demand; sin/cos-encoded hour; sin/cos-encoded week; sin/cos-encoded month; stacked observations from 2–24 previous timesteps (concatenated into current state);",Mixed,"DQN: Discrete 3-action (full charge; idle; full discharge) or 17 evenly-spaced levels'
PPO: Continuous; or discrete 3-action; or discrete 17-action;
SAC / DDPG: Continuous charge/discharge power;",Negative grid purchase cost − Peukert-DOD battery degradation cost − [optional penalties: action correction; low SoC; inactivity],Cycle Counting (DoD informed),Energy Only,"CEM (lower bound, same environment access as DRL); GA-MPC heuristic oracle (full environment dynamics + future states, 24-hour receding horizon); implicit fixed-action baseline (a_t = 0)",1 Year,Yes: https://github.com/masa2203/battery-dispatch-with-DRL,Yes (5 seeds),SD reported across 5 seeds for all results; training curves show ±1 SD shaded regions; sensitivity analyses run over 5 seeds,1,1,1,0.5,0,1,3.5,High
S22,S.S. Karimi Madahi et al.,2024,Control Policy Correction Framework for Reinforcement Learning-based Energy Arbitrage Strategies,ACM International Conference on Future and Sustainable Energy Systems (E-Energy '24),Belgian Imbalance Settlement Mechanism,15-minute,Real,2023 (full year),Model-Free DRL,Distributional DQN (DDQN) (Selected); DQN,DNN,Minutes elapsed within current quarter-hour; quarter-hour index of day; month; SoC; indicative imbalance price of current quarter-hour,Discrete,Discharge at max rate; Idle; Charge at full rate,-(charging/discharging power) * real imbalance price,None,Energy Only,Rule-based; DQN,Days after the 25th of each month across 2023 (65 days),No,Not Stated,None,1,0.5,0,1,1,1,3.5,High
S23,Y. Miao et al.,2021,Co-Optimizing Battery Storage for Energy Arbitrage and Frequency Regulation in Real-Time Markets Using Deep Reinforcement Learning,Energies (MDPI journal),PJM,PJM LMP: 5-minute; RegD: 2-second,Real,30 July 2021 (1 day),Model-Free DRL,TDD-ND (Selected); DQL,DNN,"Five-minute submodel: BESS energy level (MWh); real-time LMP;

Two-second submodel: BESS energy level (MWh); RegD signal",Continuous,"Five-minute: power change due to Energy Arbitrage and Frequency Regulation (charge/discharge, bounded by ±(power_capacity)); 

Two-second: regulation response power (bounded by ±(power_capacity))","Five-minute submodel: Revenue from price spread (average price minus current price, times power change and time) - battery degradation cost 

Two-second submodel: Revenue from energy price spread during the two-second interval + frequency regulation settlement reward (based on tracking performance score) - battery degradation cost",Linear Fixed Cost,Energy Arbitrage + Frequency Regulation,DQL; Pure-EA; Pure-FR; Rule-based co-optimization,1 Day,No,Not Stated,None,0.5,0.5,0,1,0,1,2,Moderate
S24,H. Song et al.,2024,Bi-level real-time pricing model in multitype electricity users for welfare equilibrium: A reinforcement learning approach,Journal of Renewable and Sustainable Energy,,,,,,Exclude E2,,,,,,,,,,,,,,,,,,0,,
S25,Mohamed & Tsuji,2023,Battery Scheduling Control of a Microgrid Trading with Utility Grid Using Deep Reinforcement Learning,IEEJ Transactions on Electrical and Electronic Engineering,JEPX,30-minute,Real,Apr 2019 - Mar 2020 (1 year),Model-Free DRL,Cross-Entropy Method (CEM) (Selected); DQN; DPG,DNN,Energy price; PV generation; Demand; SoC; Time code (half hour slot in day),Discrete,Discrete charge/discharge power level selected from K evenly spaced levels between −b_discharge_max and +b_charge_max,"Negative instantaneous cost minus a large penalty (a=10,000) if battery boundary constraints are violated, summed over the episode",None,Energy Only,Oracle LP; Rule-based (no-battery); Rule-based (greedy); DQN; DPG,Whole year (minus first week of April used for training); rolling daily train-test with 7-day training windows,No,Not Stated,Mean of 100 test runs per day,1,1,0.5,1,1,1,4.5,High
S26,Basso & Du,2023,Battery Energy Storage Control Using Reinforcement Learning,2023 IEEE International Future Energy Electronics Conference (IFEEC),Virtual,1-minute,Synthetic,2 days,Model-Free DRL,DDPG; TD3 (Selected); PPO; SAC; TRPO,Not Stated,Power flow; energy/grid price; SoC,Continuous,"Battery power output as a percentage between -1 and 1, scaled by a gain of 15,833 (half-scale Tesla Megapack max wattage)","If peak price (≥19th quantile of forecast price): reward = -1 × (grid price × power flow), converting discharge earnings to positive reward; else (off-peak/charging): reward = 0.1 × (grid price × power flow)",None,Energy Only,Rule-based,2 Days,No,Not Stated,None,0,0.5,0,0.5,0,1,1,Low
S27,J. Li et al.,2024,Attentive Convolutional Deep Reinforcement Learning for Optimizing Solar-Storage Systems in Real-Time Electricity Markets,"IEEE Transactions on Industrial Informatics, Vol. 20, No. 5, May 2024",NEM,5-minute,Real,Jan-Dec 2020 (1 year),Model-Free DRL,DDPG (Selected); TD3; SAC,CNN; Transformer,"Solar farm: last spot price, last actual solar generation, last solar deviation, hour index. 

BESS: last spot price, last solar deviation, hour index, BESS capacity, count of curtailment events in last L intervals, average curtailed energy in last L intervals",Mixed,"Solar farm: solar bid power (normalized [0,1]). 

BESS: bid power in spot market, power drawn from solar curtailments, charge indicator, discharge indicator","Solar farm: negative price-weighted absolute deviation between bid and actual/available solar output. 

BESS: arbitrage reward (price-spread-weighted, gated by charge/discharge indicators) + curtailment-absorption reward − degradation-cost penalty",Cycle Counting (DoD informed),Energy Only,"DMPC (deterministic MPC with MILP); SMPC (stochastic MPC, 120 scenarios); MLP-DDPG (same DDPG but plain MLP instead of AC); TD3 and SAC (with/without AC)",1 Month,No,Not Stated,None,1,0.5,0,1,0.5,1,3,Moderate
S28,P. Bhatakar et al.,2025,Adaptive Hierarchical Deep Reinforcement Learning with Meta Learning for Health-Aware Multi-Service Battery Energy Storage Systems in Dynamic Electricity Markets,"2025 12th National Power Electronics Conference (NPEC), IEEE",CAISO; Regulation; Spinning Reserve,5-minute,Hybrid (Real CAISO/NREL data; Synthetic renewable forecast errors),2020 - 2023 (4 years),Hierarchical RL,SAC; TD3; PPO,LSTM (arbitrage agent); Not Stated (others),SoC; SoH; battery temperature; day-ahead price; real-time price; ancillary service prices; reserve requirement; temporal/hour indicator; seasonal/month indicator; renewable generation forecast,Mixed,"Upper: capacity allocation across arbitrage, frequency regulation, reserve, maintenance; Lower: continuous power setpoints per service",Day-ahead arbitrage revenue + regulation revenue + reserve revenue − degradation cost − constraint-violation penalty,Cycle Counting (DoD informed),Energy Arbitrage + Frequency Regulation + Spinning Reserve + Maintenance,"Rule-based control (threshold logic for peak shaving, solar arbitrage, reserve prioritization); MPC with 24-hour horizon and perfect price forecasts; single-service DRL using independent TD3 agents with no coordination between services",3 Years,No,Not Stated,None,0,1,0,0.5,1,1,2.5,Moderate
S29,Y. Tang et al.,2023,A Virtual Power Plant Economic Scheduling Strategy Based on Deep Reinforcement Learning,"2023 5th International Conference on Power and Energy Technology (ICPET), IEEE",Virtual,15-minute,Real,"Jan - March, exact year not stated",Model-Free DRL,PPO (Selected),DNN,Load demand; system status; equipment operating state (10 variables; not individually enumerated),Continuous,Power setpoints for wind; PV; CHP; electric boiler; and battery charge/discharge,Negative net operating cost (operating costs - system benefits) with constraint violation penalties; no explicit reward equation stated,None,Energy Only,"Mathematical programming (MISOCP via convex relaxation, solved with MOSEK); Particle Swarm Optimization (PSO); running cost and solving time reported for both",1 Day,No,Not Stated,None,0.5,0.5,0,0.5,0,1,1.5,Low
S30,K. Valiev et al.,2026,"Study of Reinforcement Learning Framework for Energy Management in Smart Grids: Integrating Market Trading, Load Forecasting, and Vertical Agents",,,,,,,Could not retrieve,,,,,,,,,,,,,,,,,,0,,
S31,Y. Dong et al.,2021,A Strategic Day-ahead bidding strategy and operation for battery energy storage system by reinforcement learning,"Electric Power Systems Research, Vol. 196, Article 107229",PJM; AGC,PJM: 1-hour; AGC: 4-second,Real,Not stated (no calendar dates; ~300 training episodes shown in Fig 5),Model-Free RL,FARL (Selected); Q-learning; SARSA; PSO,Linear basis-function approximator,Previous day's market clearing price; last hour's own bidding action vector; current SoC; current hour index,Discrete,Energy market capacity bid; AGC price bid; regulation-up capacity bid; regulation-down capacity bid,Energy market profit + regulation capability profit + regulation performance profit - operation and maintenance cost - charging/discharging loss cost - battery ageing cost - constraint violation penalty,Cycle Counting (DoD informed),Energy Market + Frequency Regulation,Q-learning; SARSA; Particle Swarm Optimization,1 Day,No,Not Stated,None,0.5,0.5,0,0.5,0,1,1.5,Low
S32,H. Sun et al.,2025,A Learning based Bidding Strategy for Energy Arbitrage of Battery Energy Storage Systems in Day-Ahead Electricity Market,2025 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia),NEM,1-hour,Real,Three years of Australian market price data; exact date range not given,Model-Free DRL,PPO,LSTM,"SoC; hour of day; mean, standard deviation, max, min and range of previous day prices; high price signal; low price signal; z-score",Continuous,"Bidding capacity, positive for discharge and negative for charge; expected revenue factor bounded within negative one to one","Profit from executed energy plus arbitrage reward based on relative price position, minus SoC constraint penalty, minus terminal SoC deviation penalty",None,Energy Only,None,"Not stated exactly; 20 percent holdout of the three year dataset, roughly seven months implied",No,Not Stated,None,0.5,0,0,1,1,1,2.5,Moderate
